LdSpp,eco_boundary,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Mountain hemlock,Hudson Plains,Mountain hemlock,0,0.0,0.0,0.0001,0.0034,0.0318,0.141,0.4085,0.9073,1.6877,2.7729,4.1626,5.8396,7.7766,9.9409,12.2981,14.815,17.4603,20.2057,23.0261,25.8996
White elm,Hudson Plains,White elm,0,0.0154,2.9887,17.2915,41.5915,70.4221,100.0411,128.5538,155.1547,179.5948,201.891,222.1772,240.631,257.438,272.7752,286.8047,299.6712,311.5024,322.4107,332.4941,341.8385
Nope,Taiga Shield West,Not stocked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amabilis fir,Taiga Shield West,Amabilis fir,0,0.0,0.0,0.0,0.0005,0.0066,0.037,0.1271,0.3208,0.6592,1.1726,1.8786,2.7822,3.879,5.1573,6.6014,8.193,9.9133,11.7435,13.6656,15.6631
Balsam fir,Taiga Shield West,Balsam fir,0,0.0,0.0079,0.2275,1.2187,3.3358,6.5273,10.5433,15.1063,19.9817,24.9927,30.014,34.9609,39.7784,44.4328,48.9049,53.1857,57.273,61.1691,64.8792,68.4104
Subalpine fir (or alpine fir),Taiga Shield West,Subalpine fir (or alpine fir),0,0.0,0.0079,0.2275,1.2187,3.3358,6.5273,10.5433,15.1063,19.9817,24.9927,30.014,34.9609,39.7784,44.4328,48.9049,53.1857,57.273,61.1691,64.8792,68.4104
Bigleaf maple,Taiga Shield West,Bigleaf maple,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Red maple,Taiga Shield West,Red maple,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Sugar maple,Taiga Shield West,Sugar maple,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Alder,Taiga Shield West,Alder,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
